一;nhất = số một
〡;cổn = nét sổ
丶;chủ= điểm, chấm
丿;phiệt = nét sổ xiên qua trái
乙;ất = vị trí thứ 2 trong thiên can
亅;quyết = nét sổ có móc
二;nhị= số hai
亠;đầu = (không cónghĩa)
人;nhân (亻)= người
儿;nhân = người
入;nhập = vào
八;bát = số tám
冂;quynh = vùng biên giới xa; hoang địa
冖;mịch = trùm khăn lên
冫;băng = nước đá
几;kỷ= ghế dựa
凵;khảm = há miệng
刀;đao (刂)= con dao, cây đao (vũ khí)
力;lực = sức mạnh
勹;bao = bao bọc
匕;chuỷ= cái thìa (cái muỗng)
匚;phương = tủ đựng
匚;hệ= che đậy, giấu giếm
十;thập = số mười
卜;bốc = xem bói
卩;tiết = đốt tre
厂;hán = sườn núi, vách đá
厶;khư, tư= riêng tư
又;hựu = lại nữa, một lần nữa
口;khẩu = cái miệng
囗;vi = vây quanh
土;thổ= đất
士;sĩ= kẻ sĩ
夂;trĩ= đến ở phía sau
夊;tuy = đi chậm
夕;tịch = đêm tối
大;đại = to lớn
女;nữ= nữgiới, con gái, đàn bà
子;tử= con; tiếng tôn xưng: «Thầy», «Ngài»
宀;miên = mái nhà mái che
寸;thốn = đơn vị «tấc» (đo chiều dài)
小;tiểu = nhỏbé
尢;uông = yếu đuối
尸;thi = xác chết, thây ma
屮;triệt = mầm non, cỏ non mới mọc
山;sơn = núi non
巛;xuyên = sông ngòi
工;công = người thợ, công việc
己;kỷ= bản thân mình
巾;cân = cái khăn
