Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,524819898586.906
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,176894.6
Argentina,ARG,Urban population,SP.URB.TOTL,40877099
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.22
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,14.4366857499034
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1428266513154.48
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,396059.9
Australia,AUS,Urban population,SP.URB.TOTL,21474309
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.3
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,21.8734041196439
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,543299066998.892
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,93523.2
Belgium,BEL,Urban population,SP.URB.TOTL,11198627
Belgium,BEL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.95
Belgium,BEL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,83.0796294670067
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,13894907485398.9
China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,10567262
China,CHN,Urban population,SP.URB.TOTL,829760595
China,CHN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.93
China,CHN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.1121035364139
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1725297938435.76
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,579573.9
Canada,CAN,Urban population,SP.URB.TOTL,30175056
Canada,CAN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.83
Canada,CAN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,32.3254037264858
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,334198218100.716
Colombia,COL,CO2 emissions (kt),EN.ATM.CO2E.KT,79355.2
Colombia,COL,Urban population,SP.URB.TOTL,39804944
Colombia,COL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.36
Colombia,COL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,15.8997196775431
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,62420164964.6987
Costa Rica,CRI,CO2 emissions (kt),EN.ATM.CO2E.KT,8166.6
Costa Rica,CRI,Urban population,SP.URB.TOTL,3999318
Costa Rica,CRI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.01
Costa Rica,CRI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,33.7385107761536
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,61330483609.8835
Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,16433.4
Croatia,HRV,Urban population,SP.URB.TOTL,2327904
Croatia,HRV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.43
Croatia,HRV,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,49.3929449603522
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,356841216410.068
Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,33133.3
Denmark,DNK,Urban population,SP.URB.TOTL,5091100
Denmark,DNK,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.13
Denmark,DNK,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,56.5598044910739
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,262588632526.73
"Egypt, Arab Rep.",EGY,CO2 emissions (kt),EN.ATM.CO2E.KT,237983
"Egypt, Arab Rep.",EGY,Urban population,SP.URB.TOTL,44301456
"Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.86
"Egypt, Arab Rep.",EGY,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,17.984655608418
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2790956878746.61
France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,306948.4
France,FRA,Urban population,SP.URB.TOTL,54024861
France,FRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.02
France,FRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,31.7136672102555
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,275708001767.838
Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,44395.5
Finland,FIN,Urban population,SP.URB.TOTL,4709266
Finland,FIN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.36
Finland,FIN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,38.4687872116233
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3974443355019.53
Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,707770.2
Germany,DEU,Urban population,SP.URB.TOTL,64096118
Germany,DEU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.38
Germany,DEU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,47.3088591421652
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,160565642983.587
Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,49202.9
Hungary,HUN,Urban population,SP.URB.TOTL,6974963
Hungary,HUN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.71
Hungary,HUN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,83.7553158559384
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,506754212432.991
Thailand,THA,CO2 emissions (kt),EN.ATM.CO2E.KT,264483.6
Thailand,THA,Urban population,SP.URB.TOTL,35527626
Thailand,THA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,0.77
Thailand,THA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,64.838096899332
Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,310106472642.968
Vietnam,VNM,CO2 emissions (kt),EN.ATM.CO2E.KT,286139.3
